iter	Passed	Remaining
1148	6577	50664
1149	6582	50657
1150	6588	50651
1151	6593	50643
1152	6599	50637
1153	6605	50631
1154	6610	50625
1155	6616	50620
1156	6622	50614
1157	6627	50605
1158	6632	50596
1159	6638	50587
1160	6643	50577
1161	6648	50570
1162	6654	50560
1163	6659	50550
1164	6664	50541
1165	6669	50531
1166	6674	50520
1167	6680	50512
1168	6685	50504
1169	6690	50494
1170	6695	50484
1171	6701	50476
1172	6706	50466
1173	6711	50457
1174	6716	50448
1175	6722	50439
1176	6727	50430
1177	6732	50421
1178	6738	50413
1179	6743	50403
1180	6748	50394
1181	6753	50384
1182	6758	50374
1183	6764	50366
1184	6769	50357
1185	6774	50349
1186	6780	50339
1187	6785	50330
1188	6790	50321
1189	6795	50311
1190	6800	50302
1191	6806	50293
1192	6811	50283
1193	6816	50274
1194	6821	50265
1195	6827	50256
1196	6832	50247
1197	6837	50238
1198	6842	50228
1199	6848	50220
1200	6853	50212
1201	6859	50204
1202	6892	50398
1203	6897	50392
1204	6903	50389
1205	6909	50383
1206	6915	50376
1207	6920	50371
1208	6926	50364
1209	6931	50355
1210	6937	50347
1211	6942	50340
1212	6947	50330
1213	6953	50323
1214	6958	50315
1215	6964	50308
1216	6969	50301
1217	6975	50291
1218	6980	50281
1219	6985	50273
1220	6991	50266
1221	6996	50258
1222	7001	50250
1223	7007	50242
1224	7012	50233
1225	7018	50225
1226	7023	50217
1227	7028	50209
1228	7034	50200
1229	7039	50190
1230	7044	50183
1231	7049	50174
1232	7055	50167
1233	7061	50161
1234	7066	50152
1235	7072	50146
1236	7077	50140
1237	7083	50132
1238	7088	50124
1239	7094	50118
1240	7099	50111
1241	7105	50103
1242	7110	50096
1243	7116	50089
1244	7122	50084
1245	7127	50078
1246	7133	50069
1247	7138	50063
1248	7144	50056
1249	7149	50048
1250	7155	50041
1251	7160	50032
1252	7166	50025
1253	7171	50018
1254	7177	50012
1255	7182	50005
1256	7188	49996
1257	7193	49988
1258	7198	49981
1259	7204	49974
1260	7210	49969
1261	7216	49963
1262	7221	49956
1263	7227	49949
1264	7232	49943
1265	7238	49936
1266	7243	49929
1267	7249	49922
1268	7254	49915
1269	7260	49907
1270	7265	49900
1271	7271	49893
1272	7276	49886
1273	7282	49879
1274	7287	49872
1275	7293	49865
1276	7298	49857
1277	7304	49851
1278	7310	49845
1279	7316	49840
1280	7322	49838
1281	7328	49833
1282	7333	49826
1283	7339	49819
1284	7344	49811
1285	7349	49803
1286	7355	49795
1287	7360	49787
1288	7366	49780
1289	7371	49773
1290	7377	49766
1291	7382	49759
1292	7388	49752
1293	7393	49746
1294	7399	49739
1295	7405	49732
1296	7410	49724
1297	7415	49717
1298	7421	49709
1299	7426	49702
1300	7432	49694
1301	7437	49688
1302	7443	49682
1303	7448	49673
1304	7454	49667
1305	7459	49660
1306	7465	49655
1307	7471	49648
1308	7476	49640
1309	7482	49635
1310	7488	49628
1311	7493	49621
1312	7498	49613
1313	7504	49608
1314	7510	49602
1315	7515	49595
1316	7521	49588
1317	7526	49581
1318	7532	49573
1319	7537	49566
1320	7542	49557
1321	7548	49550
1322	7554	49543
1323	7559	49535
1324	7564	49528
1325	7570	49521
1326	7576	49515
1327	7581	49507
1328	7586	49500
1329	7592	49491
1330	7597	49482
1331	7603	49476
1332	7608	49469
1333	7614	49464
1334	7619	49457
1335	7625	49452
1336	7631	49445
1337	7636	49437
1338	7641	49429
1339	7647	49421
1340	7652	49415
1341	7658	49408
1342	7663	49400
1343	7669	49393
1344	7674	49386
1345	7680	49378
1346	7685	49369
1347	7690	49360
1348	7696	49354
1349	7701	49346
1350	7706	49339
1351	7712	49332
1352	7717	49324
1353	7723	49317
1354	7728	49311
1355	7734	49305
1356	7740	49299
1357	7745	49291
1358	7751	49284
1359	7756	49276
1360	7762	49270
1361	7767	49263
1362	7773	49257
1363	7779	49253
1364	7785	49250
1365	7791	49246
1366	7796	49239
1367	7802	49231
1368	7807	49224
1369	7813	49217
1370	7818	49209
1371	7824	49202
1372	7829	49195
1373	7835	49188
1374	7840	49182
1375	7846	49175
1376	7851	49167
1377	7856	49159
1378	7862	49152
1379	7898	49334
1380	7903	49327
1381	7909	49323
1382	7915	49318
1383	7921	49311
1384	7926	49303
1385	7931	49297
1386	7937	49290
1387	7943	49284
1388	7948	49276
1389	7954	49269
1390	7959	49262
1391	7964	49254
1392	7970	49247
1393	7975	49238
1394	7981	49231
1395	7986	49222
1396	7991	49214
1397	7997	49206
1398	8002	49199
1399	8007	49189
1400	8012	49178
1401	8017	49168
1402	8023	49163
1403	8029	49157
1404	8034	49151
1405	8039	49142
1406	8045	49135
1407	8051	49129
1408	8056	49122
1409	8062	49116
1410	8067	49108
1411	8072	49099
1412	8078	49092
1413	8083	49085
1414	8089	49077
1415	8094	49068
1416	8100	49064
1417	8105	49057
1418	8111	49050
1419	8116	49042
1420	8122	49035
1421	8127	49028
1422	8132	49020
1423	8138	49013
1424	8144	49007
1425	8149	49000
1426	8155	48994
1427	8160	48987
1428	8166	48980
1429	8171	48973
1430	8177	48967
1431	8183	48961
1432	8188	48954
1433	8194	48947
1434	8199	48941
1435	8205	48935
1436	8210	48927
1437	8216	48919
1438	8221	48912
1439	8227	48905
1440	8232	48898
1441	8238	48891
1442	8243	48884
1443	8248	48877
1444	8254	48870
1445	8259	48862
1446	8265	48855
1447	8270	48848
1448	8276	48841
1449	8281	48833
1450	8287	48826
1451	8292	48819
1452	8298	48812
1453	8303	48806
1454	8309	48799
1455	8314	48792
1456	8320	48787
1457	8326	48782
1458	8332	48776
1459	8337	48770
1460	8343	48762
1461	8348	48754
1462	8353	48747
1463	8359	48740
1464	8365	48734
1465	8370	48726
1466	8375	48719
1467	8381	48713
1468	8387	48706
1469	8392	48699
1470	8398	48692
1471	8403	48686
1472	8409	48682
1473	8415	48676
1474	8420	48668
1475	8426	48661
1476	8431	48654
1477	8436	48646
1478	8442	48639
1479	8447	48631
1480	8453	48625
1481	8459	48621
1482	8464	48614
1483	8470	48607
1484	8475	48599
1485	8481	48592
1486	8486	48585
1487	8492	48578
1488	8497	48572
1489	8503	48565
1490	8508	48558
1491	8514	48550
